index,title,artist,top genre,year
169,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013
170,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013
171,The Way,Ariana Grande,dance pop,2013
172,Suit & Tie,Justin Timberlake,dance pop,2013
173,#thatPOWER,will.i.am,dance pop,2013
174,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013
175,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013
176,Daylight,Maroon 5,pop,2013
177,Love Somebody,Maroon 5,pop,2013
178,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013
179,Move,Little Mix,dance pop,2013
180,Walks Like Rihanna,The Wanted,boy band,2013
181,Rock N Roll,Avril Lavigne,canadian pop,2013
182,Heartbreaker,Justin Bieber,canadian pop,2013
183,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013
184,Next To Me,Emeli Sandé,dance pop,2013
185,Made In The USA,Demi Lovato,dance pop,2013
186,Clown,Emeli Sandé,dance pop,2013
187,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013
188,TKO,Justin Timberlake,dance pop,2013
189,Come & Get It,Selena Gomez,dance pop,2013
190,Live It Up,Jennifer Lopez,dance pop,2013
191,We Own The Night,The Wanted,boy band,2013
192,Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave,2013
193,What About Love,Austin Mahone,dance pop,2013
194,Take Back the Night,Justin Timberlake,dance pop,2013
195,Applause,Lady Gaga,dance pop,2013
196,Anything Could Happen,Ellie Goulding,dance pop,2013
197,Finally Found You,Enrique Iglesias,dance pop,2013
198,Pom Poms,Jonas Brothers,boy band,2013
199,#Beautiful,Mariah Carey,dance pop,2013
200,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013
201,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013
202,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013
203,People Like Us,Kelly Clarkson,dance pop,2013
204,Overdose,Ciara,dance pop,2013
205,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013
206,Give It 2 U,Robin Thicke,dance pop,2013
207,Foolish Games,Jewel,alaska indie,2013
208,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013
209,Freak,Kelly Rowland,atl hip hop,2013
210,All of Me,John Legend,neo mellow,2014
211,Stay With Me,Sam Smith,pop,2014
212,Summer,Calvin Harris,dance pop,2014
213,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014
214,Rude,MAGIC!,pop,2014
215,Shake It Off,Taylor Swift,pop,2014
216,Dark Horse,Katy Perry,dance pop,2014
217,Hey Brother,Avicii,big room,2014
218,Maps,Maroon 5,pop,2014
219,Treasure,Bruno Mars,pop,2014
220,Let Her Go,Passenger,folk-pop,2014
221,Problem,Ariana Grande,dance pop,2014
222,Pompeii,Bastille,metropopolis,2014
223,Team,Lorde,art pop,2014
224,Love Me Again,John Newman,pop,2014
225,Latch,Disclosure,house,2014
226,Adore You,Miley Cyrus,dance pop,2014
227,Love Never Felt So Good,Michael Jackson,pop,2014
228,Burn,Ellie Goulding,dance pop,2014
229,She Looks So Perfect,5 Seconds of Summer,boy band,2014
230,Fancy,Iggy Azalea,australian hip hop,2014
231,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014
232,Gorilla,Bruno Mars,pop,2014
233,human,Christina Perri,dance pop,2014
234,Young Girls,Bruno Mars,pop,2014
235,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014
236,Love Runs Out,OneRepublic,dance pop,2014
237,This Is How We Do,Katy Perry,dance pop,2014
238,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014
239,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014
240,#SELFIE,The Chainsmokers,electropop,2014
241,Partition,Beyoncé,dance pop,2014
242,Birthday,Katy Perry,dance pop,2014
243,G.U.Y.,Lady Gaga,dance pop,2014
244,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014
245,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014
246,Wings,Birdy,neo mellow,2014
247,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014
248,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014
249,Say Something,A Great Big World,neo mellow,2014
250,A Sky Full of Stars,Coldplay,permanent wave,2014
251,Come Get It Bae,Pharrell Williams,dance pop,2014
252,Chandelier,Sia,australian dance,2014
253,XO,Beyoncé,dance pop,2014
254,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014
255,Not About Angels,Birdy,neo mellow,2014
256,Drunk in Love,Beyoncé,dance pop,2014
257,Anaconda,Nicki Minaj,dance pop,2014
258,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014
259,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014
260,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014
261,Words as Weapons,Birdy,neo mellow,2014
262,You're Mine (Eternal),Mariah Carey,dance pop,2014
263,Sheezus,Lily Allen,dance pop,2014
264,Cannonball,Lea Michele,hollywood,2014
265,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014
266,I Luh Ya Papi,Jennifer Lopez,dance pop,2014
267,Not a Bad Thing,Justin Timberlake,dance pop,2014
268,Thinking out Loud,Ed Sheeran,pop,2015
269,I'm Not The Only One,Sam Smith,pop,2015
270,The Hills,The Weeknd,canadian contemporary r&b,2015
271,Love Yourself,Justin Bieber,canadian pop,2015
272,Uptown Funk,Mark Ronson,dance pop,2015
273,Take Me To Church,Hozier,irish singer-songwriter,2015
274,Sugar,Maroon 5,pop,2015
275,Sorry,Justin Bieber,canadian pop,2015
276,FourFiveSeconds,Rihanna,barbadian pop,2015
277,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015
278,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015
279,What Do You Mean?,Justin Bieber,canadian pop,2015
280,Stitches,Shawn Mendes,canadian pop,2015
281,Want to Want Me,Jason Derulo,dance pop,2015
282,My House,Flo Rida,dance pop,2015
283,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015
284,Night Changes,One Direction,boy band,2015
285,How Deep Is Your Love,Calvin Harris,dance pop,2015
286,Never Forget You,Zara Larsson,dance pop,2015
287,Love Me Harder,Ariana Grande,dance pop,2015
288,Animals,Maroon 5,pop,2015
289,Blame,Calvin Harris,dance pop,2015
290,Worth It,Fifth Harmony,dance pop,2015
291,Break Free,Ariana Grande,dance pop,2015
292,Don't,Ed Sheeran,pop,2015
293,Elastic Heart,Sia,australian dance,2015
294,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015
295,Hello,Adele,british soul,2015
296,Dear Future Husband,Meghan Trainor,dance pop,2015
297,43776,Beyoncé,dance pop,2015
298,The Heart Wants What It Wants,Selena Gomez,dance pop,2015
299,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015
300,Genie In a Bottle,Christina Aguilera,dance pop,2015
301,Company,Justin Bieber,canadian pop,2015
302,Sing,Ed Sheeran,pop,2015
303,Jealous - Remix,Nick Jonas,dance pop,2015
304,Really Don't Care,Demi Lovato,dance pop,2015
305,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015
306,Only Love Can Hurt Like This,Paloma Faith,british soul,2015
307,Heartbeat Song,Kelly Clarkson,dance pop,2015
308,Up,Olly Murs,dance pop,2015
309,Trumpets,Jason Derulo,dance pop,2015
310,Runnin' (Lose It All),Naughty Boy,tropical house,2015
311,Same Old Love,Selena Gomez,dance pop,2015
312,I Want You To Know,Zedd,complextro,2015
313,Lips Are Movin,Meghan Trainor,dance pop,2015
314,I'll Show You,Justin Bieber,canadian pop,2015
315,Here,Alessia Cara,canadian contemporary r&b,2015
316,I Lived,OneRepublic,dance pop,2015
317,Fireball (feat. John Ryan),Pitbull,dance pop,2015
318,Easy Love,Sigala,dance pop,2015
319,The Feeling,Justin Bieber,canadian pop,2015
320,I Really Like You,Carly Rae Jepsen,canadian pop,2015
321,BO$$,Fifth Harmony,dance pop,2015
322,Sugar,Maroon 5,pop,2015
323,Focus,Ariana Grande,dance pop,2015
324,All About That Bass,Meghan Trainor,dance pop,2015
325,On My Mind,Ellie Goulding,dance pop,2015
326,Love Me Like You,Little Mix,dance pop,2015
327,Broken Arrows,Avicii,big room,2015
328,Booty,Jennifer Lopez,dance pop,2015
329,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015
330,Mark My Words,Justin Bieber,canadian pop,2015
331,Lay It All on Me,Rudimental,dance pop,2015
332,American Oxygen,Rihanna,barbadian pop,2015
333,Bang Bang,Jessie J,australian pop,2015
334,Reality - Radio Edit,Lost Frequencies,belgian edm,2015
335,Alive,Sia,australian dance,2015
336,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015
337,Been You,Justin Bieber,canadian pop,2015
338,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015
339,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015
340,Heroes (we could be),Alesso,big room,2015
341,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015
342,Perfect,One Direction,boy band,2015
343,Ghosttown,Madonna,dance pop,2015
344,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015
345,Bloodstream,Ed Sheeran,pop,2015
346,Living For Love,Madonna,dance pop,2015
347,Baby Don't Lie,Gwen Stefani,dance pop,2015
348,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015
349,Steal My Girl,One Direction,boy band,2015
350,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015
351,We Are Here,Alicia Keys,hip pop,2015
352,St Jude,Florence + The Machine,art pop,2015
353,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015
354,Time of Our Lives,Pitbull,dance pop,2015
355,Sparks,Hilary Duff,dance pop,2015
356,Mr. Put It Down,Ricky Martin,dance pop,2015
357,Legendary Lovers,Katy Perry,dance pop,2015
358,Spark The Fire,Gwen Stefani,dance pop,2015
359,Run Run Run,Kelly Clarkson,dance pop,2015
360,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015
361,Dangerous,Jennifer Hudson,dance pop,2015
362,L.A.LOVE (la la),Fergie,dance pop,2015
363,The Hills,The Weeknd,canadian contemporary r&b,2016
364,Love Yourself,Justin Bieber,canadian pop,2016
365,Cake By The Ocean,DNCE,dance pop,2016
366,Don't Let Me Down,The Chainsmokers,electropop,2016
367,In the Name of Love,Martin Garrix,big room,2016
368,Into You,Ariana Grande,dance pop,2016
369,This Is What You Came For,Calvin Harris,dance pop,2016
370,Million Reasons,Lady Gaga,dance pop,2016
371,Needed Me,Rihanna,barbadian pop,2016
372,7 Years,Lukas Graham,danish pop,2016
373,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016
374,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016
375,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016
376,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016
377,Work,Rihanna,barbadian pop,2016
378,Stitches,Shawn Mendes,canadian pop,2016
379,"Me, Myself & I",G-Eazy,hip hop,2016
380,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016
381,Dangerous Woman,Ariana Grande,dance pop,2016
382,Starving,Hailee Steinfeld,dance pop,2016
383,Shout Out to My Ex,Little Mix,dance pop,2016
384,Electric Love,BØRNS,electropop,2016
385,Confident,Demi Lovato,dance pop,2016
386,Too Good,Drake,canadian hip hop,2016
387,Roses,The Chainsmokers,electropop,2016
388,Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016
389,Me Too,Meghan Trainor,dance pop,2016
390,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016
391,Ain't Your Mama,Jennifer Lopez,dance pop,2016
392,Close,Nick Jonas,dance pop,2016
393,Toothbrush,DNCE,dance pop,2016
394,All We Know,The Chainsmokers,electropop,2016
395,Final Song,MØ,dance pop,2016
396,Company,Justin Bieber,canadian pop,2016
397,Hands To Myself,Selena Gomez,dance pop,2016
398,All I Ask,Adele,british soul,2016
399,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016
400,NO,Meghan Trainor,dance pop,2016
401,Kill Em With Kindness,Selena Gomez,dance pop,2016
402,Cool Girl,Tove Lo,dance pop,2016
403,Runnin' (Lose It All),Naughty Boy,tropical house,2016
404,Here,Alessia Cara,canadian contemporary r&b,2016
405,Perfect Illusion,Lady Gaga,dance pop,2016
406,PILLOWTALK,ZAYN,dance pop,2016
407,Out Of The Woods,Taylor Swift,pop,2016
408,Rise,Katy Perry,dance pop,2016
409,Wherever I Go,OneRepublic,dance pop,2016
410,Body Say,Demi Lovato,dance pop,2016
411,Don't Be A Fool,Shawn Mendes,canadian pop,2016
412,LIKE I WOULD,ZAYN,dance pop,2016
413,Cheap Thrills,Sia,australian dance,2016
414,I Got You,Bebe Rexha,dance pop,2016
415,Run Away With Me,Carly Rae Jepsen,canadian pop,2016
416,Cruel (feat. ZAYN),Snakehips,dance pop,2016
417,Send My Love (To Your New Lover),Adele,british soul,2016
418,WTF (Where They From),Missy Elliott,dance pop,2016
419,Desire,Years & Years,dance pop,2016
420,When We Were Young,Adele,british soul,2016
421,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016
422,Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,art pop,2016
423,Hurts,Emeli Sandé,dance pop,2016
424,Change,Christina Aguilera,dance pop,2016
425,Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016
426,Keeping Your Head Up,Birdy,neo mellow,2016
427,True Colors,Zedd,complextro,2016
428,Make Me Like You,Gwen Stefani,dance pop,2016
429,Champagne Problems,Nick Jonas,dance pop,2016
430,Blown,DNCE,dance pop,2016
431,Start,John Legend,neo mellow,2016
432,Pep Rally,Missy Elliott,dance pop,2016
433,Higher,Carly Rae Jepsen,canadian pop,2016
434,Invitation,Britney Spears,dance pop,2016
435,One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016
436,Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016
437,Little Lies,Hilary Duff,dance pop,2016
438,Do You Wanna Come Over?,Britney Spears,dance pop,2016
439,BURNITUP!,Janet Jackson,dance pop,2016
440,Picky - Remix,Joey Montana,latin,2016
441,Behind Your Back,Nelly Furtado,canadian latin,2016
442,Million Years Ago,Adele,british soul,2016
443,Shape of You,Ed Sheeran,pop,2017
444,Closer,The Chainsmokers,electropop,2017
445,Starboy,The Weeknd,canadian contemporary r&b,2017
446,Treat You Better,Shawn Mendes,canadian pop,2017
447,That's What I Like,Bruno Mars,pop,2017
448,Let Me Love You,DJ Snake,electronic trap,2017
449,I Feel It Coming,The Weeknd,canadian contemporary r&b,2017
450,Mercy,Shawn Mendes,canadian pop,2017
451,Side To Side,Ariana Grande,dance pop,2017
452,Stay,Zedd,complextro,2017
453,It Ain't Me (with Selena Gomez),Kygo,edm,2017
454,Malibu,Miley Cyrus,dance pop,2017
455,Something Just Like This,The Chainsmokers,electropop,2017
456,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017
457,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017
458,My Way,Calvin Harris,dance pop,2017
459,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017
460,Praying,Kesha,dance pop,2017
461,Despacito - Remix,Luis Fonsi,latin,2017
462,The Greatest,Sia,australian dance,2017
463,There for You,Martin Garrix,big room,2017
464,Paris,The Chainsmokers,electropop,2017
465,Crying in the Club,Camila Cabello,dance pop,2017
466,Mama,Jonas Blue,dance pop,2017
467,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017
468,Swish Swish,Katy Perry,dance pop,2017
469,Chained To The Rhythm,Katy Perry,dance pop,2017
470,Cold (feat. Future),Maroon 5,pop,2017
471,Love,Lana Del Rey,art pop,2017
472,Reggaetón Lento (Remix),CNCO,boy band,2017
473,All I Ask,Adele,british soul,2017
474,First Time,Kygo,edm,2017
475,The Cure,Lady Gaga,dance pop,2017
476,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017
477,Bodak Yellow,Cardi B,pop,2017
478,Rich Love (with Seeb),OneRepublic,dance pop,2017
479,Tired,Alan Walker,electro house,2017
480,Came Here for Love,Sigala,dance pop,2017
481,24K Magic,Bruno Mars,pop,2017
482,Strip That Down (feat. Quavo),Liam Payne,dance pop,2017
483,Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017
484,OK - Spotify Version,Robin Schulz,dance pop,2017
485,Bon appétit,Katy Perry,dance pop,2017
486,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017
487,Get Low (with Liam Payne),Zedd,complextro,2017
488,Kissing Strangers,DNCE,dance pop,2017
489,Slow Hands,Niall Horan,dance pop,2017
490,Younger Now,Miley Cyrus,dance pop,2017
491,Body Moves,DNCE,dance pop,2017
492,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017
493,Angel,Fifth Harmony,dance pop,2017
494,Touch (feat. Kid Ink),Little Mix,dance pop,2017
495,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017
496,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017
497,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017
498,Rich Boy,Galantis,big room,2017
499,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017
500,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017
501,Influence,Tove Lo,dance pop,2017
502,Remember I Told You,Nick Jonas,dance pop,2017
503,Messin' Around,Pitbull,dance pop,2017
504,Water Under the Bridge,Adele,british soul,2017
505,Free Me,Sia,australian dance,2017
506,Kissing Strangers - Remix,DNCE,dance pop,2017
507,A L I E N S,Coldplay,permanent wave,2017
508,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018
